Event Desc,En No,Site Name,Licensee Name,Region No,City Name,State Cd,County Name,License No,Agreement State Ind,Docket No,Unit Ind1,Unit Ind2,Unit Ind3,Reactor Type,Nrc Notified By,Ops Officer,Notification Dt,Notification Time,Event Dt,Event Time,Time Zone,Last Updated Dt,Emergency Class,Cfr Cd1,Cfr Descr1,Cfr Cd2,Cfr Descr2,Cfr Cd3,Cfr Descr3,Cfr Cd4,Cfr Descr4,Staff Name1,Org Abbrev1,Staff Name2,Org Abbrev2,Staff Name3,Org Abbrev3,Staff Name4,Org Abbrev4,Staff Name5,Org Abbrev5,Staff Name6,Org Abbrev6,Staff Name7,Org Abbrev7,Staff Name8,Org Abbrev8,Staff Name9,Org Abbrev9,Staff Name10,Org Abbrev10,Scram Code 1,RX CRIT 1,Initial PWR 1,Initial RX Mode1,Current PWR 1,Current RX Mode 1,Scram Code 2,RX CRIT 2,Initial PWR 2,Initial RX Mode 2,Current PWR 2,Current RX Mode 2,Scram Code 3,RX CRIT 3,Initial PWR 3,Initial RX Mode 3,Current PWR 3,Current RX Mode 3,Event Text
Non-Power Reactor,52536,UNIV OF MISSOURI-COLUMBIA,UNIVERSITY OF MISSOURI,0,COLUMBIA,MO,BOONE,R-103,N,5000186,,,,10000 KW TANK,BRUCE MEFFERT,DONG HWA PARK,2/6/2017 0:00,17:30,2/3/2017 0:00,,CST,2/6/2017 0:00,NON EMERGENCY,,RESEARCH AND TEST REACTOR EVENT,,,,,,,GEOFFREY WERTZ,RTRP,ANTHONY MENDIOLA,PROB,ALEXANDER ADAMS,PRLB,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AIR EFFLUENT CONCENTRATION EXCEEDED TECHNICAL SPECIFICATIONS  ""[The following] is a required notification per MURR [University of Missouri Research Reactor] Technical Specification (TS) 6.6.c.(1) to report to the NRC Operations Center that an Abnormal Occurrence as defined by MURR TS 1.1.b occurred on February 3, 2017.  Specifically, MURR was not in compliance with the Limiting Condition for Operations TS 3.7.b.  ""On February 3, 2017, MURR released the radioisotope Iodine-131 from the ventilation exhaust stack at a concentration equal to 1.07 times AEC [Air Effluent Concentration] which exceeds the one (1) AEC Maximum Controlled Instantaneous Release Concentration for 'Particulates and halogens with half-lives greater than 8 days'.  The Iodine-131 originated from the MURR Iodine-131 Processing Hot Cells, not from the reactor.  By February 4, 2017, the ventilation exhaust stack radioisotope concentration was within TS limits.  ""Currently, all Iodine-131 processing activities have ceased and will not resume until corrective actions are implemented and permission from the Facility Director is obtained.  MURR has convened an Event Review per MURR procedure AP-RR-026 to identify the causes and corrective actions for this departure from specification.  ""A detailed event report will follow within 14 days as required by MURR TS 6.6.c.(3)."""
Part 21,52537,EMERSON PROCESS MANAGEMENT,FISHER CONTROLS INTERNATIONAL LLC,3,MARSHALLTOWN,IA,,,Y,,,,,,KIM SAGAR,DONG HWA PARK,2/8/2017 0:00,11:17,1/2/2017 0:00,,CST,2/8/2017 0:00,NON EMERGENCY,21.21(d)(3)(i),DEFECTS AND NONCOMPLIANCE,50.55(e),CONSTRUCT DEFICIENCY,,,,,SHANE SANDAL,R2DO,MICHAEL KUNOWSKI,R3DO,PART 21/50.55 REACTO,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"PART 21 - VALVE ASSEMBLY NONCONFORMANCE  ""Subject: 3""  Style HPNS Valve Body/Cage/Plug Retainer Binding  ""Equipment Affected by this Fisher Information Notice: Items subject to this Fisher Information Notice (FIN) are confined to the equipment and orders referred to in Appendix A attached. Specifically, affected equipment refers to the 3"" style HPNS valve body for next-generation nuclear plants and its associated cage and plug retainer.  ""Purpose: The purpose of this FIN is to alert affected customers that, as of 2 January 2017, Fisher Controls International LLC (Fisher) became aware of a situation which may affect the performance of the aforementioned equipment, including its safety-related function. Fisher is informing affected customers of this circumstance in accordance with Section 21.21(b) of 10 CFR 21.  ""Applicability: This FIN applies only to the equipment identified in Appendix A, which lists serial numbers and order numbers that were delivered to customers. Specifically, it applies to the Fisher 3  style HPNS valve body assembly, sold to AP1000 next generation plant sites, Commodity Package PV14, Datasheet 111.  ""Discussion: During plant hot functional testing, certain valve assemblies did not achieve full travel. Upon disassembly, site inspection found wear between the cage and plug retainer in some valves. Vertical scratches in the cage internal diameter and plug retainer outside diameter was confirmation of galling which prohibited full travel. In one valve, the cage could not be removed from the body as it was friction-welded due to galling.  ""The valve body-to-cage interference is attributed to body-to-bonnet gasket compression which caused the valve body gasket groove to distort/yield, particularly the cage guide internal diameter bore. Regarding the cage-to-plug retainer binding, thermal expansion calculations between cage internal diameter and plug retainer outside diameter indicate an undersized diametrical clearance at temperature.  ""Extent of Condition: In addition to the equipment listed in Appendix A, all other style HPNS designs (NPS 1/2, 1, 2, 3, 4, 6, and 8) were examined for extent of condition. Results indicate that DS111 was a lone outlier and this issue is not expected to occur for the other sizes, material combinations and datasheets sold into their respective applications and temperatures. Arrangements have been made with the customers to replace or maintenance the trim for the equipment listed in Appendix A. In addition, a Corrective Action Request (CAR 1817) has been initiated by Fisher to prevent reoccurrence of this issue.  ""10 CFR 21 Implications: Fisher requests that the recipient of this FIN review it and take appropriate action in accordance with 10 CFR 21. If there are any technical questions or concerns, please contact: Ben Ahrens, Quality Manager, Emerson Automation Solutions, Fisher Controls International LLC, 301 South First Avenue, Marshalltown, IA 50158, Phone: (641) 754-2249, F (641) 754-2830."""
Agreement State,52538,COLORADO DEPT OF HEALTH,COLORADO DEPT OF CORRECTIONS STERLING CORRECTIONAL,4,STERLING,CO,,GL,Y,,,,,,LINDA BARTISH,DONG HWA PARK,2/8/2017 0:00,12:21,2/7/2017 0:00,12:00,MST,2/10/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GREG WARNICK,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - MISSING TRITIUM EXIT SIGNS  The following information was received via e-mail:  ""Detail: The general license section of the Radioactive Materials Program sent out the annual notification requesting response regarding tritium exit signs reported in use at the location given by the manufacturer.  Upon an audit of the annual mailing for non-responders, Colorado Dept of Corrections - Sterling Correctional was contacted. The contact at Sterling Correctional explained they conducted an inspection of the property and were not able to find any of the exit signs ordered from SRB Technologies still in use.  It is unknown what occurred with the Tritium exit signs since 16 years have passed. The contact was not able to confirm if the tritium exit signs were ever installed in the building.   ""SRB Technologies was contacted to obtain information from a purchase order number provided on the manufacturer report. No response has been received. The information on the manufactures report shows the ship to address as Holcomb & Hoke MFG CO. Inc. In trying to contact them it was discovered the business had closed several years ago.  When the tritium signs were shipped to them the company was manufacturing movable walls/panels for large spaces.  Note: companies who make movable walls will install tritium exit signs in the wall prior to shipping to end user.  ""The lost tritium exit signs are model # BX-10-WH, Serial Numbers 243257 thru 243261, 5 signs, Isotope H-3, Activity 10 Curies, Shipped 07/06/2001.  No further information is obtainable.  ""The Colorado Dept of Corrections is being asked to supply a corrective action with policy and procedure should any additional signs are ordered.  ""Event Report ID No.: CO17-0004""   * * * UPDATE FROM LINDA BARTISH TO DONALD NORWOOD AT 1553 EST ON 2/10/2017 * * *  The following information was received via E-mail:  ""After contacting the Colorado Sterling Correctional Facility and explaining we [Colorado Department of Health] needed a corrective action regarding how they will track additional remaining tritium exit signs and asking for a safety policy and procedure guide, I guess the plant manager decided to go and see if they actually had any of the movable wall in the facility. As it turns out he did find the area with the walls and the 5 Tritium Exit Signs.  ""They are now in the process of taking the signs out to return to the manufacturer.    ""Case Closed.""  Notified R4DO (Warnick) and NMSS Events Notification.  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Power Reactor,52539,WATTS BAR,TENNESSEE VALLEY AUTHORITY,2,SPRING CITY,TN,RHEA,,Y,,,2,,"[1] W-4-LP,[2] W-4-LP",JOHN TUITE,DONG HWA PARK,2/8/2017 0:00,13:04,12/15/2016 0:00,13:32,EST,2/8/2017 0:00,NON EMERGENCY,50.73(a)(1),INVALID SPECIF SYSTEM ACTUATION,,,,,,,SHANE SANDAL,R2DO,,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,"60 DAY OPTIONAL TELEPHONIC NOTIFICATION FOR AN INVALID CONTAINMENT VENTILATION ISOLATION ACTUATION  ""This 60 day telephone notification is being submitted in accordance with paragraphs 10 CFR 50.73(a)(1) and 50.73(a)(2)(iv)(A) to report an Invalid Containment Ventilation Isolation (CVI) actuation at Watts Bar Nuclear Plant (WBN) Unit 2.  ""On December 15, 2016 at 1332 Eastern Standard Time (EST), Unit 2 maintenance personnel were preparing to perform a breaker swap for the normal feed to the 2B1B C and A vent board. When the power was removed from Radiation Monitor 2-RM-90-131, the B Train master isolation signal status panel was unexpectedly lit for CVI. The only automatic action observed from the containment isolation status panel was that 2-FCV-30-037, Lower Compartment Purge Control valve, went closed. The loss of power to 2-RM-90-131 de-energized the relay associated with the high radiation setpoint, resulting in an invalid Train B CVI actuation.  ""During this event, the train B CVI actuation was complete and equipment functioned as designed. Upon identification of the Train B CVI, maintenance activities were halted and a prompt investigation was initiated. WBN found that the work order to perform the breaker swap was planned to lift leads to disable actuation of CVI. The work order lifted the lead for the K622 relay, which was insufficient to prevent the actuation. Two other leads on relays should have been lifted to prevent the actuation in Mode 1. A contributor to this error was that this work had been rescheduled several times prior to actual performance. From the time it was planned to the actual performance, mode changes had been performed on the Unit and no further reviews were performed.  ""The licensee notified the NRC Resident Inspector."""
Agreement State,52540,TEXAS DEPT OF STATE HEALTH SERVICES,MEDI PHYSICS INC,4,HOUSTON,TX,,5517,Y,,,,,,GENTRY HEARN,DONG HWA PARK,2/8/2017 0:00,13:28,2/8/2017 0:00,,CST,2/8/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GREG WARNICK,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - CONTAMINATED PACKAGES  The following report was received via e-mail:  ""On February 8, 2016, the Agency [Texas Department of State Health Services] was notified by the licensee (a nuclear pharmacy) that three packages received were contaminated with radioactive material. The contamination does not seem to have come from the contents of the packages themselves, the receiving facility, or the origin facility. Additional information will be shared as it is received in accordance with SA-300.""  * * * UPDATE ON 2/8/17 AT 1655 EST FROM GENTRY HEARN TO DONG PARK * * *  The following report was received via e-mail:  ""On February 8, 2016, the Agency [Texas Department of State Health Services] dispatched an inspector to the licensee's facility to investigate.  No additional contamination was found in the licensee's  facility.  No likely sources of contamination for the packages were identified.  The truck and driver that had delivered the packages was intercepted by the shipper and redirected back to the licensee's facility.  The truck and driver were surveyed for fixed and removable contamination.  No contamination was found on the truck, driver, or associated equipment.  Additional information will be shared as is received in accordance with SA-300.   ""Texas Incident #: I - 9462""  Notified R4DO (Warnick) and NMSS Events Notifications via email."
Agreement State,52541,KENTUCKY DEPT OF RADIATION CONTROL,BIG RIVERS ELECTRIC CORPORATION,1,WEST CENTERTOWN,KY,,201-208-56,Y,,,,,,ERIC PERRY,DONG HWA PARK,2/8/2017 0:00,14:37,2/8/2017 0:00,,CST,2/8/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,MARC FERDAS,R1DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - FAILURE OF FIXED GAUGE MOUNTING SYSTEM  The following report was received from the Kentucky Department of Public Health and Safety, Radiation Health Branch via email:  ""Licensee discovered fixed gauge had become dismounted from associated equipment due to failed mounting system. RSO supervised placing gauge in safe condition which included closing the shutter mechanism and placing the gauge in secure storage. The licensee does not suspect any radiation related injuries or exposures; however, they are still investigating.""   KY Event Report ID No.: KY170001"
Power Reactor,52542,DRESDEN,"EXELON NUCLEAR COMPANY, LLC",3,MORRIS,IL,GRUNDY,,Y,,,2,3,"[1] GE-1,[2] GE-3,[3] GE-3",ADAM SCHUERMAN,DONG HWA PARK,2/8/2017 0:00,17:06,2/8/2017 0:00,8:51,CST,2/10/2017 0:00,NON EMERGENCY,50.72(b)(3)(xiii),LOSS COMM/ASMT/RESPONSE,,,,,,,MICHAEL KUNOWSKI,R3DO,,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,Y,100,Power Operation,100,Power Operation,N,Y,100,Power Operation,100,Power Operation,"TECHNICAL SUPPORT CENTER EMERGENCY VENTILATION SYSTEM INOPERABLE  ""At 0851 CST on Wednesday, February 8th, 2017, the Dresden Nuclear Power Station (DNPS) Technical Support Center (TSC) Emergency Ventilation System was emergently declared inoperable due to a failure of the outside air damper to reposition.  This resulted in the inability for the TSC ventilation to maintain the required air flow to support habitability during emergency conditions.  Actions are being taken to repair damper to restore functionality of the TSC ventilation system.  In the interim, station procedures provide guidance to relocate the TSC to an alternate facility.  This event is being reported under 10 CFR 72(b)(3)(xiii),  Any event that results in a major loss of emergency assessment capability, offsite response capability, or offsite communications capability (e.g., significant portion of control room indication, Emergency Notification System, or offsite notification system).   ""The NRC Resident Inspector has been notified.""  * * * UPDATE  PROVIDED BY RYAN CHAMBERLAIN TO JEFF ROTTON AT 0418 EST ON 02/10/2017 * * *  ""At 0108 CST on February 10, 2017, Dresden TSC ventilation has been restored and is now functional.  ""The NRC Resident Inspector has been notified.""  Notified R3DO (Kunowski)."
Power Reactor,52543,HATCH,SOUTHERN NUCLEAR OPERATING COMPANY,2,BAXLEY,GA,APPLING,,Y,5000321,1,,,"[1] GE-4,[2] GE-4",JASON WIGGINS,JEFF HERRERA,2/8/2017 0:00,17:31,2/8/2017 0:00,11:51,EST,2/8/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(D),ACCIDENT MITIGATION,,,,,,,SHANE SANDAL,R2DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,N,N,0,,0,,"HIGH PRESSURE COOLANT INJECTION SYSTEM INOPERABLE DUE TO DEGRADED DC TO AC INVERTER  ""During a control room panel walk down by an on-shift Reactor Operator at approximately 1151 [EST] on 2/8/2017, Unit 1 High Pressure Coolant Injection (HPCI) suction and discharge pressure indicators were noted to be downscale. I & C investigated and found the output of 1E41K603, DC to AC inverter, degraded. This inverter also powers the HPCI flow controller. Without the flow controller HPCI would not auto-start to mitigate the consequences of an accident, thus HPCI was declared inoperable. All other emergency core cooling systems and the Reactor Core Isolation Cooling (RCIC) system remain operable.  ""HPCI is a single train system with no redundant equipment in the same system, thus this failure is reportable as an event or condition that could have prevented fulfillment of a safety function needed to mitigate the consequences of an accident, 10CFR50.72(b)(3)(v)(D).  ""Inverter 1E41K603 was replaced and functionally tested satisfactorily at 1630 on 2/8/2017, restoring HPCI to operable status.""  The NRC Resident Inspector was notified."
Power Reactor,52544,COOK,INDIANA/MICHIGAN POWER CO.,3,BRIDGMAN,MI,BERRIEN,,N,5000315,1,2,,"[1] W-4-LP,[2] W-4-LP",ROB EISENMAN,DONG HWA PARK,2/8/2017 0:00,22:19,2/3/2017 0:00,20:24,EST,2/8/2017 0:00,NON EMERGENCY,50.72(b)(3)(ii)(B),UNANALYZED CONDITION,,,,,,,MICHAEL KUNOWSKI,R3DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,"UNANALYZED CONDITION DUE TO UNACCOUNTED LOADS IN SAFE SHUTDOWN ANALYSIS  ""On February 3rd, 2017, during engineering modification reviews of electrical busses for a station switchyard transformer, electrical loads were identified on 4kV breakers that are not accounted for in the current safe shutdown analysis. Further reviews revealed the unanalyzed loads are associated with 26 cables that are routed through multiple fire zones in the Turbine Building and both Unit 1 and Unit 2 4kV rooms that have the potential to be affected from a fire event. Per NFPA 805 requirements, the cables need to be analyzed for overcurrent trip capability to demonstrate that the breakers will isolate a fault for a fire.  ""Hourly Fire Watch tours have been established in the identified fire zones. The public health and safety is not impacted. This notification is being made in accordance with 10 CFR 50.72(b)(3)(ii)(B) as an unanalyzed condition.  ""The NRC Resident Inspector was notified. This is a late notification for the 8 hour report."""
Agreement State,52545,WISCONSIN RADIATION PROTECTION,BEMIS CORPORATION,3,NEENAH,WI,,GL,Y,,,,,,KYLE WALTON,JEFF HERRERA,2/9/2017 0:00,11:57,2/8/2017 0:00,16:31,CST,2/9/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,MICHAEL KUNOWSKI,R3DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE - RADIOACTIVE DEVICE FOUND IN SCRAP YARD  The following report was received from the Wisconsin Department of Health Services Radiation Protection Section via email:  ""We [Wisconsin Department of Health] have an immediately reportable event under DHS 157.32(1)(a)1 regarding stolen, lost or missing material that is equal to or greater than 1,000 times the quantity specified in Appendix F.  A phone message was left with the Wisconsin Department of Health Services at 1631 [CST] on February 8, 2017 [concerning] found radioactive material.  The message was returned this morning, February 9, 2017 and the following information has been gathered.  An NDC System 101 thickness gauge (SSD CA0471D102B), containing 150 mCi of Am-241 was recovered at a scrap yard in Wisconsin.  The device was received in a load of scrap originating from Bemis Corporation in Neenah Wisconsin.  The device, with serial number 11125, with 150 mCi of Am-241 assayed on 12/28/2009 is generally licensed to Bemis Corporation. The device was separated out of a load at Alter Trading in Green Bay Wisconsin. The State is currently in contact with both Alter Trading and Bemis Corporation to coordinate a response.  An individual at Alter measured up to 3000 microR/h with their survey meter.  The department will verify this measurement and determine if there is any contamination or personnel exposure.  The department has dispatched staff to the site for response and to help facilitate transfer of the device to the owner.""  Wisconsin Event ID No.:  WI-170001  * * * UPDATE AT 1701 EST ON 02/09/07 FROM KYLE WALTON TO JEFF HERRERA * * *   The following update was received via email:  ""Inspectors investigated on February 9 at Alter Trading in Green Bay, where the device was being stored.  It was determined that the device had unintentionally been removed from a machine during maintenance work at Bemis Company, Inc. and that it was then grouped with scrap metal before being transported to Alter Trading.  While the shutter was open, the time spent around the device by any employees or members of the public, or employees of either Bemis or Alter, is believed to be minimal.  The shutter has been closed, and wipe tests confirm that there is no removable contamination.  There are no known or suspected overexposures resulting from this incident.  Bemis is working with a service provider to arrange for packaging and transportation of the gauge back to their facility.  Inspectors will perform an inspection of Bemis on February 10 to gather more information.""  Notified the R3DO (Kunowski) and NMSS Events (via email).  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Agreement State,52546,TEXAS DEPT OF STATE HEALTH SERVICES,MOTIVA ENTERPRISES LLC,4,PORT ARTHUR,TX,,5211,Y,,,,,,KAREN BLANCHARD,DONALD NORWOOD,2/9/2017 0:00,13:12,2/8/2017 0:00,,CST,2/9/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,GREG WARNICK,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - FIXED PROCESS GAUGE STUCK SHUTTER  The following information was received via E-mail:  ""On February 9, 2017, the licensee notified the Agency [Texas Department of State Health Services] that on February 8, 2017, it was attempting to close the shutter on a Vega SHLG-1 fixed nuclear gauge to shut down the unit it was mounted on for maintenance and the shutter would not close. The gauge contains a 2,000 millicurie cesium-137 source, serial number 6380GG. The licensee reported there was no risk of exposure to employees or members of the public. A licensed service company is onsite and will secure a lead plate onto the device then remove the device and return it to the manufacturer for repairs.  ""More information will be provided as it is obtained in accordance with SA-300.""  Texas Incident No.: I-9463"
Power Reactor,52547,LASALLE,EXELON NUCLEAR CO.,3,MARSEILLES,IL,LA SALLE,,Y,5000373,1,,,"[1] GE-5,[2] GE-5",WAYNE CLAYTON,JEFF ROTTON,2/14/2017 0:00,2:40,2/13/2017 0:00,23:09,CST,2/14/2017 0:00,NON EMERGENCY,50.72(b)(2)(iv)(B),RPS ACTUATION - CRITICAL,,,,,,,PATRICIA PELKE,R3DO,,,,,,,,,,,,,,,,,,,A/R,Y,100,Power Operation,0,Hot Shutdown,N,N,0,,0,,N,N,0,,0,,"UNIT 1 AUTOMATIC REACTOR SCRAM DUE TO MAIN GENERATOR TRIP ON DIFFERENTIAL CURRENT  ""This notification is being provided in accordance with 10 CFR 50.72(b)(2)(iv)(B).  ""On February 13, 2017 at 2309 CST, a Unit 1 Reactor Automatic Scram signal was received due to Turbine Control Valve Fast Closure. The turbine trip was due to the main generator trip on Differential Current. The 'U' safety relief valve actuated in the relief mode on the turbine trip, and has subsequently reset with tailpipe temperature returning to normal. The plant is in a stable condition with reactor pressure being maintained by the Turbine Bypass valves. Reactor water level is being controlled with feedwater. Investigation into the cause of the event is in progress.""  All control rods fully inserted on the scram.  Unit 1 is in a normal shutdown electric plant alignment.  Unit 2 was not affected.  The licensee notified the NRC Resident Inspector."
Agreement State,52548,PA BUREAU OF RADIATION PROTECTION,"UNIVERSAL WELL SERVICES, INC.",1,MEADVILLE,PA,,PA-1446,Y,,,,,,JOSEPH MELNIC,DONALD NORWOOD,2/14/2017 0:00,14:17,2/6/2017 0:00,,EST,2/14/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,RAY MCKINLEY,R1DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - DENSITY GAUGE SHUTTER MALFUNCTION  The following information was received via facsimile:  ""On February 13, 2017, the Department [PA DEP Bureau of Radiation Protection] was notified by Universal Well Services that a malfunction of a roll pin on a shutter handle occurred at a temporary job site in Zelienople, Pennsylvania. It is initially reportable per 10 CFR 30.50(b)(2).  ""A roll pin, which holds the shutter handle to the shutter shaft, on one of the in-line density gauges became sheared off during an attempt to move the shutter to the open position, rendering the gauge unusable. The shutter is in the closed position and out-of-service awaiting repair from a service provider. No exposures occurred.  ""The shutter is in the closed position and the gauge is out-of-service and secure. There was no other damage to the gauge. A reactive inspection is planned by the Department.  ""The gauge was a Berthold, Model LB 8010, Serial Number 10055, containing 20 mCi of Cs-137.""  Pennsylvania Event Report ID No.:  PA170002"
Non-Agreement State,52549,U.S. NAVY,U.S. NAVY,1,WASHINGTON,DC,,45-23645-01NA,N,,,,,,JERRY SANDERS,DONG HWA PARK,2/15/2017 0:00,10:06,1/18/2017 0:00,5:45,EST,2/15/2017 0:00,NON EMERGENCY,20.2201(a)(1)(i),LOST/STOLEN LNM>1000X,,,,,,,RAY MCKINLEY,R1DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"LOST RADIOACTIVE MATERIAL  The following report was received via email:  ""1. The lost radioactive material consisted of one in flight blade inspection system (IBIS) pressure indicator which was installed on one CH-53E aircraft. The IBIS pressure indicator (P/N: 12210-1, S/N: 293) contained one 500 microCurie Strontium-90 source.  ""2. The IBIS pressure indicator was last visually accounted for prior to an aircraft flight on January 18, 2017. Much of the flight was over water and maneuvers were conducted over unpopulated woodland adjacent to Marine Corps Air Station (MCAS) New River, North Carolina. During the flight, nothing out of the ordinary was noted. After the flight, a post flight inspection was conducted and it was then discovered that an IBIS pressure indicator was missing.  ""3. The IBIS pressure indicator was discovered missing at 0545 [EST] on January 18, 2017 during a post flight inspection when the crew chief went to reinstall the IBIS pressure indicator covers. The likely location of the IBIS pressure indicator is in the water or unpopulated wooded area beneath the aircraft flight path in the New River, North Carolina region.  ""4. Exposure to individuals from radiation from the IBIS pressure indicator is unlikely due to its likely location in an uninhabited area.  ""5. Upon discovery of the missing IBIS pressure indicator, the aircraft maintenance crew at MCAS New River immediately performed an inspection of the flight line in the vicinity of the aircraft. On January 18, 2017 at approximately 1500 [EST] an extensive foreign object detection walk was conducted on the aircraft parking line. No debris associated with the missing IBIS pressure indicator was found.  ""6. An inspection was completed on all IBIS pressure indicators installed on aircraft associated with the MCAS New River in order to verify that the IBIS pressure indicators did not exhibit excessive wear indicating the potential for the displacement of an IBIS pressure indicator from the aircraft. MCAS New River aircraft operational and maintenance crew were re-briefed on the importance of vigilant pre-flight and post-flight aircraft inspections in order to identify potential material defects of aircraft components.""  THIS MATERIAL EVENT CONTAINS A ""LESS THAN CAT 3"" LEVEL OF RADIOACTIVE MATERIAL  Sources that are ""Less than IAEA Category 3 sources,"" are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf"
Agreement State,52550,OK DEQ RAD MANAGEMENT,PRODUCERS SERVICE CORP.,4,HENNESSEY,OK,,,Y,,,,,,KEVIN SAMPSON,DONG HWA PARK,2/15/2017 0:00,10:30,2/14/2017 0:00,,CST,2/15/2017 0:00,NON EMERGENCY,,AGREEMENT STATE,,,,,,,HEATHER GEPFORD,R4DO,NMSS_EVENTS_NOTIFICA,EMAI,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"AGREEMENT STATE REPORT - DAMAGED DENSITY GAUGE  The following report was received via e-mail:  ""On February 14, 2017, we [Oklahoma Department of Environmental Quality] were informed by Producers Service Corp. that a routine inspection of a generally-licensed Berthold Technologies Model LB 8010 (S/N 10456) fixed density gauge revealed a crack in the rod which operated the shutter.  The shutter operated normally despite this.  A leak test was performed and was negative.  The device contains 20 mCi of Cs-137.  The rod and source shield have been replaced, and the damaged parts will be returned to Berthold."""
